Datetime,Open,High,Low,Close,Volume,Symbol
2026-06-01 09:15:00,2280.10009765625,2306.39990234375,2280.10009765625,2288.0,0,TCS.NS
2026-06-01 09:16:00,2289.800048828125,2301.0,2286.0,2297.60009765625,50487,TCS.NS
2026-06-01 09:17:00,2298.39990234375,2301.5,2295.199951171875,2298.699951171875,36182,TCS.NS
2026-06-01 09:18:00,2298.89990234375,2302.300048828125,2295.10009765625,2300.699951171875,21974,TCS.NS
2026-06-01 09:19:00,2301.39990234375,2301.5,2293.699951171875,2293.89990234375,19101,TCS.NS
2026-06-01 09:20:00,2293.89990234375,2300.39990234375,2292.800048828125,2300.0,53177,TCS.NS
2026-06-01 09:21:00,2300.0,2303.199951171875,2296.199951171875,2302.699951171875,23832,TCS.NS
2026-06-01 09:22:00,2301.699951171875,2302.89990234375,2296.0,2296.800048828125,9835,TCS.NS
2026-06-01 09:23:00,2296.800048828125,2301.699951171875,2296.800048828125,2298.89990234375,17093,TCS.NS
2026-06-01 09:24:00,2300.0,2301.60009765625,2297.10009765625,2300.699951171875,16000,TCS.NS
2026-06-01 09:25:00,2300.800048828125,2303.300048828125,2296.0,2297.199951171875,23715,TCS.NS
2026-06-01 09:26:00,2297.60009765625,2298.300048828125,2295.5,2297.5,9337,TCS.NS
2026-06-01 09:27:00,2297.5,2297.5,2295.699951171875,2296.10009765625,5785,TCS.NS
2026-06-01 09:28:00,2295.89990234375,2302.0,2295.199951171875,2301.89990234375,20175,TCS.NS
2026-06-01 09:29:00,2302.5,2303.199951171875,2301.199951171875,2302.10009765625,21737,TCS.NS
2026-06-01 09:30:00,2302.300048828125,2304.800048828125,2302.10009765625,2302.89990234375,18554,TCS.NS
2026-06-01 09:31:00,2302.89990234375,2305.0,2301.60009765625,2301.89990234375,27087,TCS.NS
2026-06-01 09:32:00,2302.699951171875,2304.0,2301.699951171875,2303.0,9153,TCS.NS
2026-06-01 09:33:00,2303.60009765625,2303.800048828125,2300.0,2303.5,13943,TCS.NS
2026-06-01 09:34:00,2304.0,2305.800048828125,2304.0,2304.89990234375,22573,TCS.NS
2026-06-01 09:35:00,2304.800048828125,2308.699951171875,2303.300048828125,2303.39990234375,37550,TCS.NS
2026-06-01 09:36:00,2302.60009765625,2303.0,2300.60009765625,2301.5,7936,TCS.NS
2026-06-01 09:37:00,2301.5,2303.89990234375,2301.0,2301.0,11685,TCS.NS
2026-06-01 09:38:00,2300.89990234375,2303.0,2300.0,2301.10009765625,46240,TCS.NS
2026-06-01 09:39:00,2301.10009765625,2302.0,2296.199951171875,2296.199951171875,26586,TCS.NS
2026-06-01 09:40:00,2296.699951171875,2300.0,2296.699951171875,2299.699951171875,5750,TCS.NS
2026-06-01 09:41:00,2299.800048828125,2300.0,2296.10009765625,2298.300048828125,3619,TCS.NS
2026-06-01 09:42:00,2298.89990234375,2300.0,2298.199951171875,2299.300048828125,2911,TCS.NS
2026-06-01 09:43:00,2298.800048828125,2300.0,2298.300048828125,2299.10009765625,1709,TCS.NS
2026-06-01 09:44:00,2299.300048828125,2299.89990234375,2298.699951171875,2299.89990234375,6801,TCS.NS
2026-06-01 09:45:00,2300.0,2301.0,2299.89990234375,2301.0,22714,TCS.NS
2026-06-01 09:46:00,2301.0,2303.199951171875,2300.5,2302.300048828125,14647,TCS.NS
2026-06-01 09:47:00,2302.699951171875,2304.39990234375,2300.89990234375,2303.5,13415,TCS.NS
2026-06-01 09:48:00,2303.89990234375,2304.0,2301.0,2302.5,17737,TCS.NS
2026-06-01 09:49:00,2302.5,2303.0,2300.5,2303.0,10668,TCS.NS
2026-06-01 09:50:00,2303.0,2303.300048828125,2302.5,2302.800048828125,14733,TCS.NS
2026-06-01 09:51:00,2303.5,2306.0,2303.5,2306.0,41447,TCS.NS
2026-06-01 09:52:00,2305.0,2307.800048828125,2304.699951171875,2306.0,26492,TCS.NS
2026-06-01 09:53:00,2306.5,2308.0,2305.199951171875,2306.10009765625,20113,TCS.NS
2026-06-01 09:54:00,2305.699951171875,2306.0,2304.10009765625,2305.199951171875,13408,TCS.NS
2026-06-01 09:55:00,2305.5,2307.800048828125,2304.699951171875,2304.699951171875,22725,TCS.NS
2026-06-01 09:56:00,2304.800048828125,2305.10009765625,2303.89990234375,2304.300048828125,8654,TCS.NS
2026-06-01 09:57:00,2304.5,2304.5,2302.5,2303.10009765625,5231,TCS.NS
2026-06-01 09:58:00,2303.300048828125,2303.5,2301.39990234375,2301.60009765625,6258,TCS.NS
2026-06-01 09:59:00,2301.300048828125,2301.300048828125,2300.0,2300.199951171875,18352,TCS.NS
2026-06-01 10:00:00,2301.10009765625,2301.89990234375,2300.60009765625,2301.89990234375,15031,TCS.NS
2026-06-01 10:01:00,2301.89990234375,2303.39990234375,2301.5,2303.39990234375,9361,TCS.NS
2026-06-01 10:02:00,2301.699951171875,2302.800048828125,2300.60009765625,2302.39990234375,14005,TCS.NS
2026-06-01 10:03:00,2302.699951171875,2303.0,2300.5,2302.0,16961,TCS.NS
2026-06-01 10:04:00,2302.10009765625,2302.199951171875,2301.0,2301.0,4606,TCS.NS
2026-06-01 10:05:00,2301.39990234375,2303.89990234375,2301.199951171875,2303.89990234375,7680,TCS.NS
2026-06-01 10:06:00,2304.0,2306.0,2303.60009765625,2305.89990234375,25462,TCS.NS
2026-06-01 10:07:00,2306.0,2307.800048828125,2305.39990234375,2306.0,33184,TCS.NS
2026-06-01 10:08:00,2305.800048828125,2306.5,2304.5,2304.5,8421,TCS.NS
2026-06-01 10:09:00,2304.89990234375,2304.89990234375,2302.800048828125,2304.0,11797,TCS.NS
2026-06-01 10:10:00,2303.89990234375,2304.800048828125,2303.199951171875,2304.800048828125,7216,TCS.NS
2026-06-01 10:11:00,2304.800048828125,2306.89990234375,2303.39990234375,2303.39990234375,15431,TCS.NS
2026-06-01 10:12:00,2303.800048828125,2303.800048828125,2303.300048828125,2303.699951171875,6695,TCS.NS
2026-06-01 10:13:00,2303.699951171875,2303.800048828125,2303.199951171875,2303.39990234375,6141,TCS.NS
2026-06-01 10:14:00,2303.199951171875,2307.0,2303.0,2307.0,19905,TCS.NS
2026-06-01 10:15:00,2307.89990234375,2307.89990234375,2305.699951171875,2306.5,26393,TCS.NS
2026-06-01 10:16:00,2306.39990234375,2306.5,2303.800048828125,2306.300048828125,12212,TCS.NS
2026-06-01 10:17:00,2306.300048828125,2308.5,2305.5,2307.5,30744,TCS.NS
2026-06-01 10:18:00,2307.60009765625,2309.5,2307.0,2308.89990234375,22205,TCS.NS
2026-06-01 10:19:00,2309.10009765625,2312.89990234375,2308.89990234375,2311.10009765625,49247,TCS.NS
2026-06-01 10:20:00,2311.199951171875,2316.800048828125,2311.10009765625,2316.0,27008,TCS.NS
2026-06-01 10:21:00,2316.300048828125,2325.39990234375,2316.10009765625,2325.0,60877,TCS.NS
2026-06-01 10:22:00,2325.39990234375,2327.800048828125,2323.0,2323.5,35643,TCS.NS
2026-06-01 10:23:00,2322.39990234375,2323.89990234375,2321.10009765625,2323.89990234375,14321,TCS.NS
2026-06-01 10:24:00,2324.0,2326.699951171875,2323.10009765625,2325.39990234375,23187,TCS.NS
2026-06-01 10:25:00,2325.300048828125,2329.0,2324.89990234375,2328.39990234375,17630,TCS.NS
2026-06-01 10:26:00,2328.300048828125,2328.300048828125,2322.5,2322.5,23200,TCS.NS
2026-06-01 10:27:00,2322.5,2323.0,2321.199951171875,2321.199951171875,7950,TCS.NS
2026-06-01 10:28:00,2322.0,2322.0,2319.10009765625,2319.5,8633,TCS.NS
2026-06-01 10:29:00,2320.5,2323.5,2320.0,2322.199951171875,15256,TCS.NS
2026-06-01 10:30:00,2322.800048828125,2324.300048828125,2321.10009765625,2321.89990234375,6881,TCS.NS
2026-06-01 10:31:00,2321.89990234375,2321.89990234375,2320.60009765625,2321.60009765625,3927,TCS.NS
2026-06-01 10:32:00,2321.5,2321.5,2319.0,2319.10009765625,2682,TCS.NS
2026-06-01 10:33:00,2318.5,2318.5,2316.199951171875,2316.800048828125,9061,TCS.NS
2026-06-01 10:34:00,2317.5,2317.699951171875,2316.699951171875,2317.5,3794,TCS.NS
2026-06-01 10:35:00,2317.0,2320.699951171875,2317.0,2317.89990234375,6499,TCS.NS
2026-06-01 10:36:00,2317.800048828125,2317.800048828125,2315.0,2315.0,5638,TCS.NS
2026-06-01 10:37:00,2315.39990234375,2318.60009765625,2315.39990234375,2318.0,4023,TCS.NS
2026-06-01 10:38:00,2318.0,2318.0,2316.199951171875,2317.800048828125,3176,TCS.NS
2026-06-01 10:39:00,2317.89990234375,2318.0,2316.5,2317.300048828125,3346,TCS.NS
2026-06-01 10:40:00,2317.300048828125,2317.300048828125,2315.0,2315.0,6271,TCS.NS
2026-06-01 10:41:00,2315.0,2317.39990234375,2314.60009765625,2317.0,5340,TCS.NS
2026-06-01 10:42:00,2317.0,2319.39990234375,2317.0,2317.699951171875,8884,TCS.NS
2026-06-01 10:43:00,2318.0,2318.0,2301.199951171875,2305.0,3314633,TCS.NS
2026-06-01 10:44:00,2304.89990234375,2308.0,2303.0,2303.300048828125,67435,TCS.NS
2026-06-01 10:45:00,2303.10009765625,2305.0,2300.89990234375,2301.5,37235,TCS.NS
2026-06-01 10:46:00,2301.89990234375,2302.10009765625,2297.0,2300.60009765625,71417,TCS.NS
2026-06-01 10:47:00,2301.199951171875,2303.89990234375,2300.60009765625,2303.800048828125,27872,TCS.NS
2026-06-01 10:48:00,2303.800048828125,2306.89990234375,2303.60009765625,2306.800048828125,12989,TCS.NS
2026-06-01 10:49:00,2306.0,2309.699951171875,2306.0,2309.699951171875,14999,TCS.NS
2026-06-01 10:50:00,2309.60009765625,2312.89990234375,2308.60009765625,2310.0,27397,TCS.NS
2026-06-01 10:51:00,2310.89990234375,2314.0,2310.199951171875,2313.39990234375,9880,TCS.NS
2026-06-01 10:52:00,2312.60009765625,2314.60009765625,2312.60009765625,2313.300048828125,12254,TCS.NS
2026-06-01 10:53:00,2312.800048828125,2315.10009765625,2312.300048828125,2314.89990234375,10002,TCS.NS
2026-06-01 10:54:00,2314.89990234375,2315.39990234375,2312.0,2312.10009765625,10227,TCS.NS
2026-06-01 10:55:00,2311.89990234375,2312.699951171875,2310.0,2312.0,5973,TCS.NS
2026-06-01 10:56:00,2312.0,2313.0,2310.0,2310.5,4905,TCS.NS
2026-06-01 10:57:00,2310.89990234375,2312.0,2310.0,2311.800048828125,1962,TCS.NS
2026-06-01 10:58:00,2311.699951171875,2312.39990234375,2310.199951171875,2311.5,7573,TCS.NS
2026-06-01 10:59:00,2311.5,2313.300048828125,2310.800048828125,2313.0,5185,TCS.NS
2026-06-01 11:00:00,2313.0,2317.199951171875,2313.0,2316.5,9784,TCS.NS
2026-06-01 11:01:00,2316.5,2316.800048828125,2313.5,2315.0,22990,TCS.NS
2026-06-01 11:02:00,2315.5,2316.0,2314.800048828125,2315.5,8534,TCS.NS
2026-06-01 11:03:00,2315.5,2316.0,2315.5,2315.89990234375,1629,TCS.NS
2026-06-01 11:04:00,2315.89990234375,2318.0,2315.800048828125,2316.60009765625,15752,TCS.NS
2026-06-01 11:05:00,2316.60009765625,2316.60009765625,2314.89990234375,2315.699951171875,5075,TCS.NS
2026-06-01 11:06:00,2315.800048828125,2317.5,2315.60009765625,2317.0,6746,TCS.NS
2026-06-01 11:07:00,2317.39990234375,2317.39990234375,2315.5,2316.60009765625,7265,TCS.NS
2026-06-01 11:08:00,2316.10009765625,2316.10009765625,2314.5,2315.800048828125,4202,TCS.NS
2026-06-01 11:09:00,2315.800048828125,2317.0,2315.39990234375,2317.0,2205,TCS.NS
2026-06-01 11:10:00,2316.89990234375,2318.5,2316.89990234375,2318.5,4890,TCS.NS
2026-06-01 11:11:00,2318.800048828125,2319.699951171875,2318.800048828125,2319.699951171875,6088,TCS.NS
2026-06-01 11:12:00,2319.60009765625,2320.300048828125,2319.5,2319.89990234375,25406,TCS.NS
2026-06-01 11:13:00,2320.10009765625,2322.0,2320.0,2321.5,11703,TCS.NS
2026-06-01 11:14:00,2321.699951171875,2322.800048828125,2321.39990234375,2321.39990234375,5495,TCS.NS
2026-06-01 11:15:00,2321.10009765625,2322.10009765625,2318.800048828125,2318.89990234375,5245,TCS.NS
2026-06-01 11:16:00,2319.199951171875,2321.5,2318.39990234375,2318.39990234375,10119,TCS.NS
2026-06-01 11:17:00,2319.199951171875,2320.0,2317.39990234375,2319.800048828125,7786,TCS.NS
2026-06-01 11:18:00,2319.800048828125,2320.0,2319.39990234375,2320.0,1727,TCS.NS
2026-06-01 11:19:00,2320.0,2320.5,2320.0,2320.5,3818,TCS.NS
2026-06-01 11:20:00,2320.5,2323.300048828125,2320.5,2323.300048828125,24775,TCS.NS
2026-06-01 11:21:00,2323.699951171875,2324.89990234375,2322.699951171875,2324.800048828125,14934,TCS.NS
2026-06-01 11:22:00,2324.10009765625,2327.5,2324.10009765625,2324.699951171875,42400,TCS.NS
2026-06-01 11:23:00,2325.0,2325.800048828125,2322.60009765625,2323.89990234375,7709,TCS.NS
2026-06-01 11:24:00,2324.0,2326.800048828125,2322.60009765625,2322.60009765625,13265,TCS.NS
2026-06-01 11:25:00,2323.10009765625,2324.0,2322.0,2322.60009765625,4187,TCS.NS
2026-06-01 11:26:00,2322.39990234375,2324.0,2322.0,2322.699951171875,11791,TCS.NS
2026-06-01 11:27:00,2322.800048828125,2325.5,2322.0,2324.89990234375,7248,TCS.NS
2026-06-01 11:28:00,2324.5,2324.5,2322.10009765625,2324.300048828125,9583,TCS.NS
2026-06-01 11:29:00,2324.800048828125,2324.800048828125,2323.199951171875,2323.39990234375,7107,TCS.NS
2026-06-01 11:30:00,2323.39990234375,2326.39990234375,2323.39990234375,2326.39990234375,12682,TCS.NS
2026-06-01 11:31:00,2326.5,2327.39990234375,2325.0,2327.39990234375,13364,TCS.NS
2026-06-01 11:32:00,2327.300048828125,2328.800048828125,2326.5,2328.800048828125,18335,TCS.NS
2026-06-01 11:33:00,2328.0,2328.800048828125,2327.300048828125,2328.0,13817,TCS.NS
2026-06-01 11:34:00,2327.89990234375,2328.0,2326.5,2326.5,4801,TCS.NS
2026-06-01 11:35:00,2327.10009765625,2328.0,2326.5,2328.0,5602,TCS.NS
2026-06-01 11:36:00,2328.10009765625,2328.5,2325.5,2325.60009765625,11217,TCS.NS
2026-06-01 11:37:00,2326.10009765625,2326.89990234375,2325.0,2326.10009765625,7041,TCS.NS
2026-06-01 11:38:00,2326.5,2327.0,2325.800048828125,2326.60009765625,11048,TCS.NS
2026-06-01 11:39:00,2326.0,2327.0,2325.10009765625,2327.0,6448,TCS.NS
2026-06-01 11:40:00,2327.0,2327.0,2325.89990234375,2326.89990234375,8018,TCS.NS
